|    |   d_model |   seq_len | precision      |   forward_time |   backward_time |   full_time |   pre_back_memory |
| 43 |        64 |       256 | torch.float32  |      0.0348199 |        1.08294  |    0.966676 |         32.25     |
| 44 |        64 |       512 | torch.bfloat16 |      0.0371326 |        0.966736 |    0.965689 |         32.25     |
| 45 |        64 |       512 | torch.float32  |      0.0653421 |        0.780149 |    0.782281 |         32.5      |
| 46 |        64 |      1024 | torch.bfloat16 |      0.0704407 |        0.586807 |    0.579524 |         32.5      |
| 47 |        64 |      1024 | torch.float32  |      0.123563  |        0.328414 |    0.327603 |         33        |
| 48 |        64 |      2048 | torch.bfloat16 |      0.133429  |        0.31561  |    0.314855 |         33        |
| 49 |        64 |      2048 | torch.float32  |      0.241986  |        0.619369 |    0.622321 |         34        |
| 50 |        64 |      4096 | torch.bfloat16 |      0.25906   |        0.816541 |    0.814286 |         34        |
| 51 |        64 |      4096 | torch.float32  |      0.469139  |        1.74441  |    1.74165  |         36        |
| 52 |        64 |      8192 | torch.bfloat16 |      0.528519  |        2.89897  |    2.89545  |         36        |
| 53 |        64 |      8192 | torch.float32  |      0.928227  |        6.34124  |    6.38212  |         40        |
| 54 |        64 |     16384 | torch.bfloat16 |      1.38774   |       10.602    |   10.5821   |         40        |
| 55 |        64 |     16384 | torch.float32  |      2.32112   |       17.9191   |   17.7638   |         48        |
| 56 |        64 |     32768 | torch.bfloat16 |      4.72997   |       33.9011   |   33.7929   |         48        |
| 57 |        64 |     32768 | torch.float32  |      7.80472   |      252.219    |  287.247    |         64        |
| 58 |        64 |     65536 | torch.bfloat16 |     17.546     |      513.602    |  510.015    |         64        |
| 59 |        64 |     65536 | torch.float32  |     28.0853    |      nan        |  nan        |         96        |
| 60 |       128 |       128 | torch.bfloat16 |      0.0157545 |        0.302078 |    0.298597 |         32.125    |
| 61 |       128 |       128 | torch.float32  |      0.0221595 |        0.325168 |    0.323449 |         32.25     |
| 62 |       128 |       256 | torch.bfloat16 |      0.0248377 |        0.301427 |    0.301649 |         32.25     |
| 63 |       128 |       256 | torch.float32  |      0.0371121 |        0.327519 |    0.326343 |         32.5      |
| 64 |       128 |       512 | torch.bfloat16 |      0.0440285 |        4.82618  |    0.784739 |         32.5      |
| 65 |       128 |       512 | torch.float32  |      0.0684766 |        1.65614  |    0.984638 |         33        |
| 66 |       128 |      1024 | torch.bfloat16 |      0.0809312 |        0.315956 |    0.313692 |         33        |
| 67 |       128 |      1024 | torch.float32  |      0.128726  |        0.608928 |    0.593664 |         34        |
| 68 |       128 |      2048 | torch.bfloat16 |      0.156711  |        2.68083  |    0.557018 |         34        |
| 69 |       128 |      2048 | torch.float32  |      0.253153  |        0.69799  |    0.691868 |         36        |
| 70 |       128 |      4096 | torch.bfloat16 |      0.302923  |        0.87529  |    0.875845 |         36        |
| 71 |       128 |      4096 | torch.float32  |      0.498717  |        2.12866  |    2.12233  |         40        |
| 72 |       128 |      8192 | torch.bfloat16 |      0.650251  |        3.30749  |    3.30785  |         40        |
| 73 |       128 |      8192 | torch.float32  |      1.0322    |        6.98786  |    6.96198  |         48        |
| 74 |       128 |     16384 | torch.bfloat16 |      2.01632   |       10.6271   |   10.6254   |         48        |
| 75 |       128 |     16384 | torch.float32  |      3.34191   |       21.6896   |   21.7923   |         64        |
| 76 |       128 |     32768 | torch.bfloat16 |      7.02896   |       36.0212   |   35.7451   |         64        |
| 77 |       128 |     32768 | torch.float32  |     11.9559    |      251.279    |  252.088    |         96        |
| 78 |       128 |     65536 | torch.bfloat16 |     25.5922    |      515.85     |  518.912    |         96        |
| 79 |       128 |     65536 | torch.float32  |     44.4248    |      nan        |  nan        |        160        |
